Period,Posts published (Target),Total ICP connections (Target),Inbound comments/likes (Target),Warm DM conversations (Target),Meetings booked (Target),Webinars hosted (Target),Pilots launched (Target),Case studies published (Target),Posts published (Actual),Total ICP connections (Actual),Inbound comments/likes (Actual),Warm DM conversations (Actual),Meetings booked (Actual),Webinars hosted (Actual),Pilots launched (Actual),Case studies published (Actual),Posts published (% Achieved),Total ICP connections (% Achieved),Inbound comments/likes (% Achieved),Warm DM conversations (% Achieved),Meetings booked (% Achieved),Webinars hosted (% Achieved),Pilots launched (% Achieved),Case studies published (% Achieved)
Week 1 (27 Sep–3 Oct),3,30,5,2,0,0,0,0,2,25,4,1,0,0,0,0,66.67,83.33,80.00,50.00,0.00,0.00,0.00,0.00
Week 2 (4–10 Oct),6,50,10,4,1,0,0,0,5,45,8,3,1,0,0,0,83.33,90.00,80.00,75.00,100.00,0.00,0.00,0.00
Week 3 (11–17 Oct),9,75,15,6,2,0,0,0,8,70,12,5,2,0,0,0,88.89,93.33,80.00,83.33,100.00,0.00,0.00,0.00
Week 4 (18–24 Oct),12,120,20,10,3,0,0,0,11,110,18,8,3,0,0,0,91.67,91.67,90.00,80.00,100.00,0.00,0.00,0.00
Week 5 (25–31 Oct),15,150,25,12,4,0,0,0,14,140,22,10,4,0,0,0,93.33,93.33,88.00,83.33,100.00,0.00,0.00,0.00
Week 6 (1–7 Nov),18,200,30,15,5,0,0,0,16,180,28,12,5,0,0,0,88.89,90.00,93.33,80.00,100.00,0.00,0.00,0.00
Week 7 (8–14 Nov),21,225,35,18,6,0,0,0,19,200,32,15,6,0,0,0,90.48,88.89,91.43,83.33,100.00,0.00,0.00,0.00
Week 8 (15–21 Nov),24,300,40,20,8,1,1,0,22,280,38,18,8,1,1,0,91.67,93.33,95.00,90.00,100.00,100.00,100.00,0.00
Week 9 (22–28 Nov),27,350,45,22,9,1,1,0,25,320,42,20,9,1,1,0,92.59,91.43,93.33,90.91,100.00,100.00,100.00,0.00
Week 10 (29 Nov–5 Dec),30,400,50,24,10,1,1,0,28,380,48,22,10,1,1,0,93.33,95.00,96.00,91.67,100.00,100.00,100.00,0.00
Week 11 (6–12 Dec),33,450,55,26,12,1,2,0,31,430,52,24,12,1,2,0,93.94,95.56,94.55,92.31,100.00,100.00,100.00,0.00
Week 12 (13–19 Dec),36,500,60,30,15,1,3,1,34,480,58,28,15,1,3,1,94.44,96.00,96.67,93.33,100.00,100.00,100.00,100.00
